Execution_RealTime,Start_Trade_Time,End_Trade_Time,Total_Trades,Total_Pips,Profit_JPY,Final_Balance,Win_Rate,Risk_Reward,PF,Win_Streaks,Loss_Streaks
2025-12-27 14:54:27,2011-04-11 13:00:00,2011-04-27 14:00:00,10,285.3,24369.0,1524369.0,40.0,3.44,2.29,[2],"[2, 2, 2]"
2025-12-28 01:44:29,2014-07-11 02:00:00,2014-09-09 23:00:00,22,201.4,50288.0,1550288.0,36.4,3.19,1.82,"[2, 4]","[9, 3]"
2025-12-28 01:58:22,2009-07-01 15:00:00,2009-09-09 05:00:00,19,401.0,56364.0,1556364.0,21.1,5.75,1.53,[],"[4, 4, 7]"
2025-12-28 03:27:10,2016-07-01,2016-11-02 08:00:00,15,-53.6,21125.0,1521125.0,6.7,12.39,0.88,[],"[8, 6]"
2025-12-28 15:09:59,134,21.6,-143.0,-95383.0,3.48
2025-12-29 04:06:31,2009-11-17 08:00:00,2010-05-06 11:00:00,44,259.0,-31275.0,1468725.0,20.5,4.41,0.91,1,19
2025-12-29 04:34:40,2014-06-19 11:00:00,2014-11-03 15:00:00,32,200.2,-44170.0,1455830.0,25.0,3.91,0.82,3,17
