StartTime,Open,High,Low,Close,Duration_Sec,Efficiency,Hour
2004-01-01 05:01:54.884,1.2590001,1.259505,1.247005,1.2471,7863,0.12684776,5
2004-01-01 07:12:59.730,1.24705,1.259405,1.24691,1.2586,15673,0.11537555,7
2004-08-06 11:31:42.664,1.20497,1.2235451,1.20437,1.22149,3712,0.1288378,11
2005-11-04 14:03:24.169,1.1988001,1.1991501,1.18947,1.18961,3921,0.118415795,14
2007-03-26 12:54:33.232,1.326755,1.334605,1.3266499,1.3329899,8791,0.12904261,12
2007-03-30 13:09:35.093,1.3313999,1.3392301,1.32885,1.3382,8598,0.1161637,13
2007-04-03 17:18:08.856,1.335885,1.33589,1.3334999,1.33365,2268,0.15189125,17
2007-04-05 13:05:54.608,1.3385999,1.340875,1.338575,1.340875,458,0.14647755,13
2007-04-05 13:21:07.124,1.340625,1.343425,1.340525,1.343225,331,0.106114864,13
2007-04-13 17:25:32.719,1.3515,1.35415,1.3514249,1.353825,1467,0.12419366,17
2007-04-20 12:45:55.652,1.3612499,1.361375,1.35945,1.35965,626,0.11033468,12
2007-04-23 15:25:59.547,1.35665,1.358425,1.356525,1.358425,1034,0.1070884,15
2007-04-30 01:25:02.407,1.362705,1.3636701,1.36267,1.3636401,3099,0.11564545,1
2007-04-30 03:53:57.373,1.3648,1.3648,1.36169,1.36183,7894,0.16747332,3
2007-05-03 12:17:06.688,1.36123,1.36201,1.35568,1.35638,7340,0.12776548,12
2007-05-08 06:12:26.060,1.3618,1.3620701,1.35935,1.35935,7090,0.12120354,6
2007-05-08 08:10:38.902,1.3592999,1.35934,1.35588,1.3559799,7306,0.123550445,8
2007-05-15 13:12:05.402,1.3547299,1.36075,1.3541,1.35982,7159,0.12880038,13
2007-05-16 13:48:15.558,1.35759,1.35787,1.35231,1.35303,6898,0.12732756,13
2007-05-18 08:54:40.815,1.349875,1.3499701,1.34653,1.3469701,7263,0.10662093,8
2007-05-21 10:04:41.808,1.34865,1.3487101,1.3438499,1.3443999,7461,0.14443365,10
2007-05-23 05:51:20.150,1.34601,1.3461499,1.3418801,1.34226,7468,0.14463055,5
2007-05-23 09:53:58.113,1.3441,1.3492401,1.34337,1.34855,7548,0.16522594,9
2007-05-23 16:04:53.292,1.34782,1.34828,1.3452499,1.3455601,7419,0.114812076,16
2007-05-25 11:39:16.959,1.34331,1.34561,1.3432801,1.34537,7270,0.112873204,11
2007-05-29 07:21:20.208,1.34414,1.34945,1.34391,1.3487501,7276,0.17186639,7
2007-05-29 15:28:51.796,1.348645,1.3487699,1.34649,1.34649,7316,0.10797718,15
2007-05-31 15:13:44.459,1.34689,1.34689,1.34425,1.34425,7347,0.12091332,15
2007-06-08 09:01:12.065,1.33927,1.33929,1.3323,1.3336201,7421,0.1336,9
2007-06-12 06:11:46.833,1.336685,1.33688,1.33408,1.3343949,7663,0.106000245,6
2007-06-19 05:52:26.949,1.342865,1.3435,1.3402901,1.34033,7782,0.108906634,5
2007-06-26 22:44:02.480,1.3452301,1.3453,1.3441,1.3442099,1433,0.10668428,22
2007-06-29 08:35:50.350,1.34519,1.35075,1.3450601,1.3501201,7453,0.1579655,8
2007-07-02 22:27:21.698,1.36333,1.3635,1.36157,1.36183,6083,0.10687017,22
2007-07-10 06:23:35.526,1.3604901,1.36536,1.36023,1.364735,8579,0.13955066,6
2007-07-10 11:09:07.629,1.364565,1.36959,1.36449,1.36837,8459,0.1159523,11
2007-07-10 21:23:58.126,1.3745201,1.37832,1.37444,1.3779,1705,0.23890091,21
2007-07-18 00:06:31.781,1.3793,1.38219,1.37925,1.38191,1858,0.15203322,0
2007-07-18 02:41:34.313,1.3810999,1.38293,1.3810999,1.38276,6901,0.11407648,2
2007-07-18 12:56:58.561,1.37678,1.38165,1.37601,1.3814399,8364,0.116443254,12
2007-07-19 00:57:48.739,1.38056,1.380695,1.37925,1.3793199,1884,0.12792514,0
2007-07-25 08:40:31.734,1.377265,1.3773999,1.3740001,1.3740699,592,0.10673155,8
2007-07-26 16:18:28.549,1.37271,1.37662,1.3724,1.376145,628,0.10689999,16
2007-09-05 14:10:35.357,1.36142,1.36532,1.36135,1.364915,423,0.12917694,14
2007-09-07 12:22:11.509,1.36966,1.3768699,1.36901,1.37643,723,0.17717013,12
2007-09-18 18:03:56.637,1.3886399,1.39645,1.38821,1.39415,889,0.1250027,18
2007-10-04 12:38:37.816,1.41153,1.41153,1.40798,1.4081299,418,0.12004714,12
2007-10-05 12:28:50.628,1.41301,1.4131999,1.40604,1.4063051,346,0.18138224,12
2007-10-05 13:32:05.775,1.40734,1.412245,1.40693,1.411855,411,0.1606396,13
2007-10-05 13:38:57.150,1.411845,1.41571,1.41155,1.4151499,610,0.11602136,13
2007-10-16 12:57:03.683,1.415895,1.4195,1.415665,1.418995,402,0.115584455,12
2007-10-18 11:59:07.594,1.426445,1.4291999,1.42606,1.4291501,432,0.11386879,11
2007-10-22 11:41:21.682,1.418625,1.41885,1.41352,1.41464,604,0.11936669,11
2007-10-24 15:13:15.326,1.423085,1.423085,1.42016,1.4204249,429,0.11964868,15
2007-11-07 02:19:44.332,1.456275,1.4663501,1.4560001,1.46284,802,0.11219357,2
2007-11-07 09:10:45.690,1.4655399,1.47027,1.46507,1.47027,700,0.13194446,9
2007-11-07 12:58:26.878,1.4693799,1.47299,1.46879,1.472225,431,0.10677249,12
2007-11-08 14:58:40.562,1.46646,1.47032,1.46638,1.46984,413,0.12322683,14
2007-11-16 08:05:08.516,1.463345,1.46362,1.460505,1.46067,486,0.10732734,8
2007-11-23 08:09:36.108,1.49193,1.4921,1.487145,1.488395,514,0.10778804,8
2007-11-23 09:04:40.769,1.48616,1.48622,1.4815199,1.48297,409,0.11049998,9
2007-12-04 10:58:49.260,1.46752,1.47156,1.46716,1.47121,757,0.11548363,10
2007-12-05 19:11:40.563,1.46562,1.46562,1.46032,1.461405,898,0.11325723,19
2007-12-07 13:36:34.700,1.462525,1.466565,1.4619999,1.466395,395,0.1280621,13
2007-12-11 11:08:30.666,1.468905,1.4692299,1.4660699,1.4660699,406,0.13140243,11
2007-12-12 07:56:24.302,1.47117,1.4714301,1.4681599,1.4681599,476,0.11106517,7
2007-12-12 14:17:22.797,1.47095,1.4721,1.4672401,1.46733,582,0.109731555,14
2007-12-13 07:58:20.958,1.47321,1.47321,1.4697449,1.47,475,0.11286692,7
2007-12-13 15:21:02.774,1.46587,1.466095,1.461185,1.4619801,558,0.11695909,15
2007-12-14 11:20:32.095,1.453725,1.453915,1.44957,1.450315,410,0.114581786,11
2007-12-14 21:46:42.790,1.442905,1.4434099,1.43877,1.43909,174022,0.120580256,21
2007-12-18 07:59:41.134,1.4406099,1.44091,1.43719,1.437355,506,0.1198227,7
2007-12-26 12:58:32.233,1.44421,1.4469099,1.44407,1.4468701,426,0.10863257,12
2007-12-27 13:35:25.039,1.4523699,1.45521,1.4523699,1.45489,393,0.10650089,13
2007-12-28 14:58:41.741,1.4683001,1.471895,1.46808,1.4716051,417,0.117507435,14
2008-01-02 14:57:46.755,1.465145,1.46939,1.46499,1.46879,634,0.106065914,14
2008-01-14 05:59:21.412,1.4815199,1.485955,1.480855,1.48551,605,0.12637767,5
2008-01-16 15:41:07.000,1.47983,1.48061,1.47152,1.4716101,498,0.20684172,15
2008-01-16 16:04:36.062,1.46721,1.4674101,1.46278,1.46278,458,0.112152636,16
2008-01-22 14:35:41.649,1.45374,1.45806,1.45353,1.45751,712,0.11929505,14
