Execution_RealTime,Start_Trade_Time,End_Trade_Time,Total_Trades,Total_Pips,Profit_JPY,Final_Balance,Win_Rate,Risk_Reward,PF,Win_Streaks,Loss_Streaks
2025-12-27 04:13:11,2011-09-13 01:00:00,2011-11-24 10:00:00,28,-599.6321516992809,-73896.0,1426104.0,21.4,2.42,0.6595769237430987,[],"[3, 3, 11, 2, 2]"
2025-12-27 06:28:51,2012-12-03 09:00:00,2013-01-18 20:00:00,28,120.0,12626.0,1512626.0,35.7,2.23,1.24,"[2, 2]","[5, 2, 2, 5, 2]"
2025-12-27 08:16:33,2012-09-25 01:00:00,2012-10-05 08:00:00,6,118.9,61179.0,1561179.0,66.7,1.04,2.08,[3],[2]
2025-12-27 08:32:11,2023-01-11 01:00:00,2023-02-10 09:00:00,13,-0.5,-19648.0,1480352.0,38.5,1.6,1.0,[],"[2, 4]"
2025-12-27 12:14:14,2016-05-02 06:00:00,2016-05-27 23:00:00,13,-117.8,-52791.0,1447209.0,30.8,1.09,0.48,[],[6]
2025-12-27 12:20:21,2012-09-12 09:00:00,2012-10-05 08:00:00,11,279.2,110113.0,1610113.0,54.5,2.17,2.6,"[3, 2]",[3]
2025-12-27 13:12:46,2009-01-22 14:00:00,2009-02-13 05:00:00,8,29.4,3188.0,1503188.0,37.5,1.75,1.05,[],"[2, 3]"
2025-12-28 04:49:58,2012-04-05,2012-05-11 17:00:00,5,40.0,33.5,47038.0,1547038.0,2.03
