Execution_RealTime,symbol,Type,lots,OpenTime,Close Time,Open Price,Close Price,Profit_JPY,Pips,S/L,T/P
2025-12-27 08:32:11,USDJPY,BUY,0.13,2023-01-14 02:00:00,2023-01-18 02:00:00,1.08279,1.0775906857142856,-10139.0,-52.0,1.0775906857142856,0
2025-12-27 08:32:11,USDJPY,BUY,0.28,2023-01-18 07:00:00,2023-01-18 11:00:00,1.07907,1.076719457142857,-9872.0,-23.5,1.076719457142857,0
2025-12-27 08:32:11,USDJPY,BUY,0.11,2023-01-18 21:00:00,2023-01-23 19:00:00,1.0824,1.08992,12408.0,75.2,1.0762716857142856,0
2025-12-27 08:32:11,USDJPY,BUY,0.33,2023-01-24 00:00:00,2023-01-24 23:00:00,1.08646,1.0844167,-10114.0,-20.4,1.0844167,0
2025-12-27 08:32:11,USDJPY,BUY,0.1,2023-01-25 04:00:00,2023-01-30 22:00:00,1.08835,1.08859,360.0,2.4,0.0,0
2025-12-27 08:32:11,USDJPY,BUY,0.33,2023-01-31 09:00:00,2023-01-31 14:00:00,1.08537,1.083362,-9940.0,-20.1,1.083362,0
2025-12-27 08:32:11,USDJPY,BUY,0.19,2023-01-31 20:00:00,2023-02-01 06:00:00,1.08357,1.08621,7524.0,26.4,1.0800884952380954,0
2025-12-27 08:32:11,USDJPY,BUY,0.18,2023-02-03 03:00:00,2023-02-03 16:00:00,1.09192,1.088180076190476,-10098.0,-37.4,1.088180076190476,0
2025-12-27 08:32:11,USDJPY,BUY,0.27,2023-02-03 17:00:00,2023-02-03 22:00:00,1.09033,1.087828380952381,-10132.0,-25.0,1.087828380952381,0
2025-12-27 08:32:11,USDJPY,BUY,0.35,2023-02-06 13:00:00,2023-02-06 17:00:00,1.07962,1.0777349428571428,-9897.0,-18.9,1.0777349428571428,0
2025-12-27 08:32:11,USDJPY,BUY,0.25,2023-02-07 05:00:00,2023-02-07 17:00:00,1.07296,1.0703420089639892,-9817.0,-26.2,1.0703420089639892,0
2025-12-27 08:32:11,USDJPY,BUY,0.12,2023-02-08 04:00:00,2023-02-10 09:00:00,1.07191,1.07345,2772.0,15.4,1.066467023809524,0
2025-12-27 12:14:14,USDJPY,BUY,0.22,2016-05-02 06:00:00,2016-05-03 02:00:00,1.1461,1.15174,18612.0,56.4,1.1430207142857143,0
2025-12-27 12:14:14,USDJPY,BUY,0.25,2016-05-04 15:00:00,2016-05-04 23:00:00,1.14951,1.146852019047619,-9967.0,-26.6,1.146852019047619,0
2025-12-27 12:14:14,USDJPY,BUY,0.25,2016-05-06 05:00:00,2016-05-07 02:00:00,1.14048,1.14094,1725.0,4.6,1.1378396,0
2025-12-27 12:14:14,USDJPY,BUY,0.24,2016-05-09 12:00:00,2016-05-10 11:00:00,1.14016,1.1373761,-10022.0,-27.8,1.1373761,0
2025-12-27 12:14:14,USDJPY,BUY,0.23,2016-05-11 10:00:00,2016-05-12 11:00:00,1.13855,1.14225,12765.0,37.0,1.1356426142857141,0
2025-12-27 12:14:14,USDJPY,BUY,0.26,2016-05-13 20:00:00,2016-05-13 21:00:00,1.13509,1.132547976190476,-9914.0,-25.4,1.132547976190476,0
2025-12-27 12:14:14,USDJPY,BUY,0.23,2016-05-14 03:00:00,2016-05-17 02:00:00,1.13056,1.13181,4312.0,12.5,1.1276980809523809,0
2025-12-27 12:14:14,USDJPY,BUY,0.33,2016-05-17 18:00:00,2016-05-17 21:00:00,1.13296,1.1309400190476189,-9999.0,-20.2,1.1309400190476189,0
2025-12-27 12:14:14,USDJPY,BUY,0.38,2016-05-18 19:00:00,2016-05-19 03:00:00,1.12727,1.125513287619048,-10013.0,-17.6,1.125513287619048,0
